Topic 0
Topic coherence: -297.927108147
AVG: -1.5680374113
SD:  0.633567675076
offer stake  0.0066126785837     -2.17141003082/-328.370720479
company stake  0.00659738546002     -2.16638821678/-328.370720479
buy lt  0.00656884304016     -2.15701572181/-328.370720479
group outstanding  0.00650891016404     -2.1373355201/-328.370720479
hold outstanding  0.00649995223518     -2.13439399854/-328.370720479
bid outstanding  0.0063806706223     -2.09522540938/-328.370720479
buy mln  0.00632068425386     -2.07552764236/-328.370720479
lt make  0.00629520010089     -2.06715939269/-328.370720479
bid stake  0.00628748645094     -2.06462645589/-328.370720479
oil pct  0.00610962964024     -2.00622348682/-328.370720479
common pct  0.00610258839199     -2.00391134706/-328.370720479
common corp  0.00609372270602     -2.00100011537/-328.370720479
company oil  0.00606112873535     -1.99029720974/-328.370720479
corp price  0.00594428217758     -1.95192822138/-328.370720479
dlrs group  0.00592595511018     -1.94591014906/-328.370720479
hold price  0.00592595511018     -1.94591014906/-328.370720479
common group  0.00587405807798     -1.9288686832/-328.370720479
bid common  0.00587193438534     -1.92817132472/-328.370720479
make mln  0.00583127374814     -1.91481956199/-328.370720479
group lt  0.00580205984761     -1.90522657242/-328.370720479
hold oil  0.00577390996473     -1.8959829751/-328.370720479
pct stake  0.00575721301026     -1.89050018413/-328.370720479
offer outstanding  0.00574358203399     -1.88602417063/-328.370720479
buy outstanding  0.0056342766272     -1.85013147545/-328.370720479
company hold  0.00563274910002     -1.84962988025/-328.370720479
corp make  0.00562685704397     -1.84769510156/-328.370720479
offer pct  0.00561611469135     -1.84416762749/-328.370720479
share stake  0.00556478639432     -1.82731291761/-328.370720479
mln stock  0.00555423388882     -1.82384778378/-328.370720479
common company  0.00555117265519     -1.82284256429/-328.370720479
buy dlrs  0.00554419290781     -1.82055061961/-328.370720479
dlrs make  0.00553523602339     -1.81760944102/-328.370720479
buy corp  0.00551307026453     -1.81033085481/-328.370720479
hold pct  0.00547553564795     -1.79800558573/-328.370720479
group stake  0.00543281485689     -1.78397732879/-328.370720479
hold share  0.00533677072694     -1.75243924864/-328.370720479
outstanding share  0.00529912700279     -1.74007815181/-328.370720479
buy hold  0.00522970919521     -1.71728337633/-328.370720479
group hold  0.005214221426     -1.71219764639/-328.370720479
buy pct  0.00518112358803     -1.70132928549/-328.370720479
common offer  0.00515354692875     -1.69227391801/-328.370720479
dlrs stock  0.00511408874755     -1.67931700663/-328.370720479
outstanding stock  0.00504938399762     -1.65806986127/-328.370720479
lt stock  0.00504723257977     -1.65736339864/-328.370720479
buy price  0.00502736717146     -1.6508401802/-328.370720479
group pct  0.00502413871966     -1.64978005116/-328.370720479
hold stock  0.00500918092519     -1.64486834941/-328.370720479
price share  0.00495961977344     -1.6285939183/-328.370720479
dlrs price  0.00495846750319     -1.62821554649/-328.370720479
buy company  0.00495044673421     -1.62558176081/-328.370720479
make stock  0.00480640521893     -1.57828274465/-328.370720479
buy share  0.00475889784289     -1.56268271336/-328.370720479
outstanding tender  0.00474672973955     -1.55868706449/-328.370720479
company price  0.00473777126372     -1.55574536333/-328.370720479
