Topic 0
Topic coherence: -79.0087313903
AVG: -1.75574958645
SD:  1.16281162322
billion revise  0.0175825661979     -1.07158361628/-60.9458030313
billion stg  0.0170126184715     -1.03684769441/-60.9458030313
bank billion  0.016992135132     -1.03559932084/-60.9458030313
market revise  0.0165236168047     -1.00704509514/-60.9458030313
england stg  0.0162609746544     -0.991038158382/-60.9458030313
money stg  0.0161389813731     -0.983603179894/-60.9458030313
bank market  0.015931228792     -0.970941532005/-60.9458030313
bp mln  0.0152063306355     -0.926762031741/-60.9458030313
billion bp  0.0143647091975     -0.875468737354/-60.9458030313
pct stg  0.014085301928     -0.85844003694/-60.9458030313
bank stg  0.0138722077545     -0.845452841414/-60.9458030313
mln pct  0.0132547556578     -0.807821727546/-60.9458030313
billion money  0.0128579815121     -0.783640008615/-60.9458030313
bank mln  0.0124766492482     -0.760399407569/-60.9458030313
mln revise  0.01175212828     -0.716242895355/-60.9458030313
mln money  0.0116059150978     -0.707331815552/-60.9458030313
market stg  0.0104454203345     -0.636604530286/-60.9458030313
pct revise  0.00894047852775     -0.544884643358/-60.9458030313
bp pct  0.00771182929535     -0.470003629246/-60.9458030313
money pct  0.00637463248363     -0.388507095744/-60.9458030313
market money  0.00589483160908     -0.35926524615/-60.9458030313
england mln  0.00548870234697     -0.334513372136/-60.9458030313
england market  0.00472029341059     -0.287682072452/-60.9458030313
bank money  0.00457785226922     -0.279000882707/-60.9458030313
mln stg  0.00249903444172     -0.152305660854/-60.9458030313
bank england  0.00196277605066     -0.119622962578/-60.9458030313

